Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D2","LED","LED_0805_2012Metric",13.250278,-102.568177,0.000000,top
"D2","LED","LED_0805_2012Metric",68.954728,-36.534279,0.000000,top
"D2","LED","LED_0805_2012Metric",180.363628,-36.534279,0.000000,top
"D2","LED","LED_0805_2012Metric",114.158621,-100.533517,180.000000,top
"D2","LED","LED_0805_2012Metric",180.363628,-102.568177,0.000000,top
"D2","LED","LED_0805_2012Metric",68.954728,-102.568177,0.000000,top
"D2","LED","LED_0805_2012Metric",124.659178,-102.568177,0.000000,top
"D3","LED","LED_0805_2012Metric",30.522278,-102.568177,180.000000,top
"D3","LED","LED_0805_2012Metric",152.591071,-100.533517,0.000000,top
"D3","LED","LED_0805_2012Metric",141.931178,-36.534279,180.000000,top
"D3","LED","LED_0805_2012Metric",30.522278,-36.534279,180.000000,top
"D3","LED","LED_0805_2012Metric",197.635628,-102.568177,180.000000,top
"D3","LED","LED_0805_2012Metric",86.226728,-36.534279,180.000000,top
"D3","LED","LED_0805_2012Metric",96.886621,-100.533517,0.000000,top
"D3","LED","LED_0805_2012Metric",152.591071,-34.499619,0.000000,top
"D3","LED","LED_0805_2012Metric",197.635628,-36.534279,180.000000,top
"D3","LED","LED_0805_2012Metric",96.886621,-34.499619,0.000000,top
"D3","LED","LED_0805_2012Metric",41.182171,-100.533517,0.000000,top
"D3","LED","LED_0805_2012Metric",41.182171,-34.499619,0.000000,top
"D3","LED","LED_0805_2012Metric",86.226728,-102.568177,180.000000,top
"D3","LED","LED_0805_2012Metric",141.931178,-102.568177,180.000000,top
"D4","LED","LED_0805_2012Metric",56.168171,-108.153517,180.000000,top
"D4","LED","LED_0805_2012Metric",167.577071,-42.119619,180.000000,top
"D4","LED","LED_0805_2012Metric",56.168171,-42.119619,180.000000,top
"D4","LED","LED_0805_2012Metric",71.240728,-94.948177,0.000000,top
"D4","LED","LED_0805_2012Metric",182.649628,-94.948177,0.000000,top
"D4","LED","LED_0805_2012Metric",126.945178,-94.948177,0.000000,top
"D4","LED","LED_0805_2012Metric",15.536278,-94.948177,0.000000,top
"D4","LED","LED_0805_2012Metric",15.536278,-28.914279,0.000000,top
"D4","LED","LED_0805_2012Metric",126.945178,-28.914279,0.000000,top
"D4","LED","LED_0805_2012Metric",182.649628,-28.914279,0.000000,top
"D4","LED","LED_0805_2012Metric",71.240728,-28.914279,0.000000,top
"D4","LED","LED_0805_2012Metric",167.577071,-108.153517,180.000000,top
"D4","LED","LED_0805_2012Metric",111.872621,-108.153517,180.000000,top
"D4","LED","LED_0805_2012Metric",111.872621,-42.119619,180.000000,top
"D5","LED","LED_0805_2012Metric",154.877071,-42.119619,0.000000,top
"D5","LED","LED_0805_2012Metric",139.645178,-94.948177,180.000000,top
"D5","LED","LED_0805_2012Metric",154.877071,-108.153517,0.000000,top
"D5","LED","LED_0805_2012Metric",28.236278,-28.914279,180.000000,top
"D5","LED","LED_0805_2012Metric",28.236278,-94.948177,180.000000,top
"D5","LED","LED_0805_2012Metric",43.468171,-108.153517,0.000000,top
"D5","LED","LED_0805_2012Metric",139.645178,-28.914279,180.000000,top
"D5","LED","LED_0805_2012Metric",83.940728,-94.948177,180.000000,top
"D5","LED","LED_0805_2012Metric",195.349628,-28.914279,180.000000,top
"D5","LED","LED_0805_2012Metric",99.172621,-42.119619,0.000000,top
"D5","LED","LED_0805_2012Metric",195.349628,-94.948177,180.000000,top
"D5","LED","LED_0805_2012Metric",83.940728,-28.914279,180.000000,top
"D5","LED","LED_0805_2012Metric",99.172621,-108.153517,0.000000,top
"D5","LED","LED_0805_2012Metric",43.468171,-42.119619,0.000000,top
"D6","LED","LED_0805_2012Metric",111.618621,-113.487517,180.000000,top
"D6","LED","LED_0805_2012Metric",71.494728,-89.614177,0.000000,top
"D6","LED","LED_0805_2012Metric",127.199178,-89.614177,0.000000,top
"D6","LED","LED_0805_2012Metric",15.790278,-23.580279,0.000000,top
"D6","LED","LED_0805_2012Metric",167.323071,-113.487517,180.000000,top
"D6","LED","LED_0805_2012Metric",15.790278,-89.614177,0.000000,top
"D6","LED","LED_0805_2012Metric",127.199178,-23.580279,0.000000,top
"D6","LED","LED_0805_2012Metric",182.903628,-89.614177,0.000000,top
"D6","LED","LED_0805_2012Metric",111.618621,-47.453619,180.000000,top
