Ref,Val,Package,MidX,MidY,Rotation,Layer
"D6","LED","LED_0805_2012Metric",44.009519,-133.432330,30.000000,top
"D6","LED","LED_0805_2012Metric",44.009519,-203.947631,30.000000,top
"D6","LED","LED_0805_2012Metric",148.070723,-62.917029,30.000000,top
"D6","LED","LED_0805_2012Metric",96.040121,-62.917029,30.000000,top
"D6","LED","LED_0805_2012Metric",148.070723,-133.432330,30.000000,top
"D6","LED","LED_0805_2012Metric",200.101325,-62.917029,30.000000,top
"D6","LED","LED_0805_2012Metric",96.040121,-203.947631,30.000000,top
"D6","LED","LED_0805_2012Metric",148.070723,-203.947631,30.000000,top
"D7","LED","LED_0805_2012Metric",106.153051,-176.162584,110.000000,top
"D7","LED","LED_0805_2012Metric",54.122449,-35.131982,110.000000,top
"D7","LED","LED_0805_2012Metric",106.153051,-35.131982,110.000000,top
"D7","LED","LED_0805_2012Metric",210.214255,-176.162584,110.000000,top
"D7","LED","LED_0805_2012Metric",106.153051,-105.647283,110.000000,top
"D7","LED","LED_0805_2012Metric",54.122449,-176.162584,110.000000,top
"D7","LED","LED_0805_2012Metric",158.183653,-35.131982,110.000000,top
"D7","LED","LED_0805_2012Metric",54.122449,-105.647283,110.000000,top
"D7","LED","LED_0805_2012Metric",210.214255,-105.647283,110.000000,top
"D7","LED","LED_0805_2012Metric",210.214255,-35.131982,110.000000,top
"D7","LED","LED_0805_2012Metric",158.183653,-105.647283,110.000000,top
"D7","LED","LED_0805_2012Metric",158.183653,-176.162584,110.000000,top
"D8","LED","LED_0805_2012Metric",36.503427,-20.347867,170.000000,top
"D8","LED","LED_0805_2012Metric",192.595233,-90.863168,170.000000,top
"D8","LED","LED_0805_2012Metric",192.595233,-20.347867,170.000000,top
"D8","LED","LED_0805_2012Metric",140.564631,-90.863168,170.000000,top
"D8","LED","LED_0805_2012Metric",88.534029,-90.863168,170.000000,top
"D8","LED","LED_0805_2012Metric",88.534029,-161.378469,170.000000,top
"D8","LED","LED_0805_2012Metric",88.534029,-20.347867,170.000000,top
"D8","LED","LED_0805_2012Metric",140.564631,-161.378469,170.000000,top
"D8","LED","LED_0805_2012Metric",36.503427,-161.378469,170.000000,top
"D8","LED","LED_0805_2012Metric",192.595233,-161.378469,170.000000,top
"D8","LED","LED_0805_2012Metric",140.564631,-20.347867,170.000000,top
"D8","LED","LED_0805_2012Metric",36.503427,-90.863168,170.000000,top
"D9","LED","LED_0805_2012Metric",118.951701,-169.244932,-130.000000,top
"D9","LED","LED_0805_2012Metric",118.951701,-28.214330,-130.000000,top
"D9","LED","LED_0805_2012Metric",14.890497,-28.214330,-130.000000,top
"D9","LED","LED_0805_2012Metric",14.890497,-98.729631,-130.000000,top
"D9","LED","LED_0805_2012Metric",66.921099,-98.729631,-130.000000,top
"D9","LED","LED_0805_2012Metric",170.982303,-169.244932,-130.000000,top
"D9","LED","LED_0805_2012Metric",170.982303,-28.214330,-130.000000,top
"D9","LED","LED_0805_2012Metric",170.982303,-98.729631,-130.000000,top
"D9","LED","LED_0805_2012Metric",118.951701,-98.729631,-130.000000,top
"D9","LED","LED_0805_2012Metric",66.921099,-169.244932,-130.000000,top
"D9","LED","LED_0805_2012Metric",14.890497,-169.244932,-130.000000,top
"D9","LED","LED_0805_2012Metric",66.921099,-28.214330,-130.000000,top
"D10","LED","LED_0805_2012Metric",114.957793,-191.895510,-70.000000,top
"D10","LED","LED_0805_2012Metric",166.988395,-191.895510,-70.000000,top
"D10","LED","LED_0805_2012Metric",114.957793,-121.380209,-70.000000,top
"D10","LED","LED_0805_2012Metric",166.988395,-50.864908,-70.000000,top
"D10","LED","LED_0805_2012Metric",62.927191,-121.380209,-70.000000,top
"D10","LED","LED_0805_2012Metric",10.896589,-121.380209,-70.000000,top
"D10","LED","LED_0805_2012Metric",10.896589,-50.864908,-70.000000,top
"D10","LED","LED_0805_2012Metric",62.927191,-50.864908,-70.000000,top
"D10","LED","LED_0805_2012Metric",62.927191,-191.895510,-70.000000,top
"D10","LED","LED_0805_2012Metric",166.988395,-121.380209,-70.000000,top
"D10","LED","LED_0805_2012Metric",114.957793,-50.864908,-70.000000,top
"D10","LED","LED_0805_2012Metric",10.896589,-191.895510,-70.000000,top
"D11","LED","LED_0805_2012Metric",80.546213,-136.164324,-10.000000,top
"D11","LED","LED_0805_2012Metric",132.576815,-65.649023,-10.000000,top
"D11","LED","LED_0805_2012Metric",132.576815,-136.164324,-10.000000,top
"D11","LED","LED_0805_2012Metric",184.607417,-65.649023,-10.000000,top
"D11","LED","LED_0805_2012Metric",132.576815,-206.679625,-10.000000,top
"D11","LED","LED_0805_2012Metric",28.515611,-206.679625,-10.000000,top
"D11","LED","LED_0805_2012Metric",28.515611,-136.164324,-10.000000,top
"D11","LED","LED_0805_2012Metric",184.607417,-136.164324,-10.000000,top
"D11","LED","LED_0805_2012Metric",184.607417,-206.679625,-10.000000,top
"D11","LED","LED_0805_2012Metric",80.546213,-65.649023,-10.000000,top
"D11","LED","LED_0805_2012Metric",80.546213,-206.679625,-10.000000,top
"D11","LED","LED_0805_2012Metric",28.515611,-65.649023,-10.000000,top
"D12","LED","LED_0805_2012Metric",50.128541,-57.782560,50.000000,top
"D12","LED","LED_0805_2012Metric",206.220347,-128.297861,50.000000,top
